"Active (0/1)";"Name *";"Categories (x,y,z...)";"Price tax excluded or Price tax included";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"UPC";"Short description";"Description"
0;"Café Cool Sensation";"12,22";0;"25.00";"2018-10-01";"2018-10-10";3017264;3017264;"Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante.";"La naturaleza ha sido la inspiración de grandes creaciones. Nosotros lo sabemos, hemos tomado lo mejor de ella y creamos una línea de colchones perfecta y armónica, entrgando un descanso natural para cada manera de dormir. Somos diferentes, dormimos diferente. Natural Café. El café, además de exquisito, es ideal para controlar la transpiración, por eso, la tela, de este colchón ha sido creada a partir de hilos derivados de posos de ""café"" que permiten absorber y eliminar la humedad y los olores producidos por tu cuerpo, ofreciéndote un descanso plácido y muy refrescante."
0;"Máster Fame Colchón + Somier";"44,46";0;"15.02";"2018-10-01";"2018-10-10";3017314;3017314;"Fame Colchón + Somier";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
0;"Máster Prestige Odin Colchón + Somier";"44,46";0;"15.00";"2018-10-01";"2018-10-10";3014437;3014445;"Prestige Odin. Colchón + Somier";"Tecnología, ingenio y buen gusto: esta es nuestra fórmula ideal para hacer del descanso algo diferente."
